Bo.,SNo.,Title,NAME,Rtg,Pts,Res,Pts,Title,NAME,Rtg,SNo.
39,41,GM,"Grischuk, Alexander",2657,0.5,0 - 1,0.5,GM,"Henriquez Villagra, Cristobal",2594,97
40,98,GM,"Moussard, Jules",2591,0.5,1 - 0,0.5,GM,"Saric, Ivan",2655,42
41,43,GM,"Sargsyan, Shant",2653,0.5,½ - ½,0.5,GM,"Narayanan, S L",2591,99
42,45,GM,"Bjerre, Jonas Buhl",2651,0.5,0 - 1,0.5,GM,"Gumularz, Szymon",2590,101
43,106,GM,"Bartel, Mateusz",2581,0.5,1 - 0,0.5,GM,"Mamedov, Rauf",2651,46
44,108,GM,"Woodward, Andy",2557,0.5,½ - ½,0.5,GM,"Grandelius, Nils",2648,48
45,49,GM,"Yuffa, Daniil",2648,0.5,1 - 0,0.5,GM,"Muradli, Mahammad",2590,103
46,104,GM,"Aditya, Mittal",2589,0.5,½ - ½,0.5,GM,"Kollars, Dmitrij",2647,50
47,51,GM,"Lu, Shanglei",2647,0.5,½ - ½,0.5,GM,"Madaminov, Mukhiddin",2560,107
48,53,GM,"Theodorou, Nikolas",2646,0.5,½ - ½,0.5,GM,"Samunenkov, Ihor",2550,109
49,55,GM,"Vokhidov, Shamsiddin",2645,0.5,½ - ½,0.5,GM,"Vakhidov, Jakhongir",2521,111
50,13,GM,"Fedoseev, Vladimir",2731,0,1 - 0,0.5,GM,"Nigmatov, Ortik",2488,113
51,92,GM,"Wagner, Dennis",2608,0,½ - ½,0,GM,"Harikrishna, Pentala",2704,18
52,35,GM,"Karthikeyan, Murali",2669,0,0 - 1,0,GM,"Aryan, Chopra",2619,79
53,47,GM,"Indjic, Aleksandar",2650,0,½ - ½,0,GM,"Jobava, Baadur",2590,102
54,110,GM,"Goryachkina, Aleksandra",2528,0,½ - ½,0,GM,"Bacrot, Etienne",2637,61
55,62,GM,"Amin, Bassem",2636,0,1 - 0,0,GM,"Abdisalimov, Abdimalik",2488,112
56,64,GM,"Ivic, Velimir",2630,0,½ - ½,0,IM,"Suyarov, Mukhammadzokhid",2482,114
57,74,GM,"Donchenko, Alexander",2624,0,½ - ½,0,GM,"Divya, Deshmukh *)",2478,115
58,116,,"Olisa, Tennyson Ewomazino",2287,0,0 - 1,0,GM,"Hovhannisyan, Robert",2629,65
